Weekly_Period,TMA_Weekly,,
1/2/2022,10.3125,,
1/9/2022,13.86904762,,
1/16/2022,11.78571429,,
1/23/2022,10.23809524,,
1/30/2022,13.39285714,,
2/6/2022,14.94047619,,
2/13/2022,18.57142857,,
2/20/2022,12.55952381,,
2/27/2022,11.10119048,,
3/6/2022,12.91666667,,
3/13/2022,11.58126294,,
3/20/2022,10,,
3/27/2022,10,,
4/3/2022,10.5952381,,
4/10/2022,14.04761905,,
4/17/2022,19.4047619,,
4/24/2022,11.54761905,,
5/1/2022,15.23809524,,
5/8/2022,10,,
5/15/2022,21.48809524,,
5/22/2022,12.61904762,,
5/29/2022,24.34782609,,
6/5/2022,30.9469697,,
6/12/2022,25.53571429,,
6/19/2022,14.88095238,,
6/26/2022,14.04761905,,
7/3/2022,12.61904762,,
7/10/2022,15.23809524,,
7/17/2022,10.41666667,,
7/24/2022,12.02380952,,
7/31/2022,10.29761905,,
8/7/2022,14.56780538,,
8/14/2022,24.65909091,,
8/21/2022,23.21428571,,
8/28/2022,20.54477226,,
9/4/2022,24.6247412,,
9/11/2022,25.68581781,,
9/18/2022,18.75,,
9/25/2022,11.72619048,,
10/2/2022,24.52380952,,
10/9/2022,42.80988456,,
10/16/2022,31.57238983,,
10/23/2022,29.28571429,,
10/30/2022,26.73395445,,
11/6/2022,28.65942029,,
11/13/2022,29.16666667,,
11/20/2022,13.33333333,,
11/27/2022,18.98809524,,
12/4/2022,21.9047619,,
12/11/2022,21.96428571,,
12/18/2022,13.86309524,,
12/25/2022,33.80952381,,
1/1/2023,31.85817805,,
1/8/2023,15.17857143,,
1/15/2023,14.4047619,,
1/22/2023,13.69047619,,
1/29/2023,10.47619048,,
2/5/2023,10.47619048,,
2/12/2023,34.28312629,,
2/19/2023,36.72619048,,
2/26/2023,49.29606625,,
3/5/2023,29.76190476,,
3/12/2023,23.27380952,,
3/19/2023,28.86904762,,
3/26/2023,22.32142857,,
4/2/2023,11.25,,
4/9/2023,12.55952381,,
4/16/2023,12.73809524,,
4/23/2023,24.14337474,,
4/30/2023,35.35196687,,
5/7/2023,25.47619048,,
5/14/2023,18.39285714,,
5/21/2023,12.85714286,,
5/28/2023,10.47619048,,
6/4/2023,16.96428571,,
6/11/2023,11.01190476,,
6/18/2023,14.88095238,,
6/25/2023,10.11904762,,
7/2/2023,10.71428571,,
7/9/2023,10.17857143,,
7/16/2023,10,,
7/23/2023,10,,
7/30/2023,10.32738095,,
8/6/2023,10,,
8/13/2023,10,,
8/20/2023,10,,
8/27/2023,10,,
9/3/2023,10,,
9/10/2023,10.29761905,,
9/17/2023,10.11904762,,
9/24/2023,10.23809524,,
10/1/2023,10.47619048,,
10/8/2023,10,,
10/15/2023,10.89285714,,
10/22/2023,10.11904762,,
10/29/2023,12.79761905,,
11/5/2023,12.61904762,,
11/12/2023,17.52846791,,
11/19/2023,13.45238095,,
11/26/2023,22.19720497,,
12/3/2023,18.45238095,,
12/10/2023,11.8452381,,
12/17/2023,10,,
12/24/2023,14.22619048,,
12/31/2023,24.47722567,,
1/7/2024,34.64285714,,
1/14/2024,21.60714286,,
1/21/2024,20.6547619,,
1/28/2024,28.03571429,,
2/4/2024,26.96428571,,
2/11/2024,28.39285714,,
2/18/2024,29.64285714,,
2/25/2024,24.28571429,,
3/3/2024,26.01190476,,
3/10/2024,38.80175983,,
3/17/2024,32.55952381,,
3/24/2024,32.44047619,,
3/31/2024,25.40584416,,
4/7/2024,10.89285714,,
4/14/2024,13.03571429,,
4/21/2024,11.9047619,,
4/28/2024,18.80952381,,
5/5/2024,12.91666667,,
5/12/2024,12.97619048,,
5/19/2024,21.59090909,,
5/26/2024,17.79761905,,
6/2/2024,11.48809524,,
6/9/2024,11.96428571,,
6/16/2024,10,,
6/23/2024,13.69047619,,
6/30/2024,19.04761905,,
7/7/2024,12.67857143,,
7/14/2024,10,,
7/21/2024,10,,
7/28/2024,13.75,,
8/4/2024,10,,
8/11/2024,10.11904762,,
8/18/2024,10,,
8/25/2024,10,,
9/1/2024,10.11904762,,
9/8/2024,13.57142857,,
9/15/2024,10,,
9/22/2024,10.89285714,,
9/29/2024,13.63095238,,
10/6/2024,10.47619048,,
10/13/2024,10.11904762,,
10/20/2024,10,,
10/27/2024,10.23809524,,
11/3/2024,18.51190476,,
11/10/2024,14.4047619,,
11/17/2024,30.33928571,,
11/24/2024,24.3452381,,
12/1/2024,23.92857143,,
12/8/2024,22.32142857,,
12/15/2024,27.32142857,,
12/22/2024,20.05952381,,
12/29/2024,10.41666667,,
1/5/2025,16.36904762,,
1/12/2025,14.04761905,,
1/19/2025,24.46428571,,
1/26/2025,36.48809524,,
2/2/2025,18.57142857,,
2/9/2025,11.54761905,,
2/16/2025,22.38095238,,
2/23/2025,29.58333333,,
3/2/2025,54.80227743,,
3/9/2025,31.60714286,,
3/16/2025,28.58436853,,
3/23/2025,21.01190476,,
3/30/2025,20.23214286,,
4/6/2025,21.13095238,,
4/13/2025,23.80952381,,
4/20/2025,20.23809524,,
4/27/2025,16.30952381,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
